cve_id,vendor,product,vuln_name,dateAdded,dueDate,notes
CVE-2020-0618,Microsoft,SQL Server,Microsoft SQL Server Reporting Services Remote Code Execution Vulnerability,2024-09-18,2024-10-09,https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2020-0618  ;  https://nvd.nist.gov/vuln/detail/CVE-2020-0618
CVE-2024-27348,Apache,HugeGraph-Server,Apache HugeGraph-Server Improper Access Control Vulnerability,2024-09-18,2024-10-09,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see:  https://lists.apache.org/thread/nx6g6htyhpgtzsocybm242781o8w5kq9 ; https://nvd.nist.gov/vuln/detail/CVE-2024-27348"
CVE-2014-0502,Adobe,Flash Player,Adobe Flash Player Double Free Vulnerablity,2024-09-17,2024-10-08,https://www.adobe.com/products/flashplayer/end-of-life-alternative.html#eol-alternative-faq ; https://nvd.nist.gov/vuln/detail/CVE-2014-0502
CVE-2013-0648,Adobe,Flash Player,Adobe Flash Player Code Execution Vulnerability,2024-09-17,2024-10-08,https://www.adobe.com/products/flashplayer/end-of-life-alternative.html#eol-alternative-faq ; https://nvd.nist.gov/vuln/detail/CVE-2013-0648
CVE-2013-0643,Adobe,Flash Player,Adobe Flash Player Incorrect Default Permissions Vulnerability,2024-09-17,2024-10-08,https://www.adobe.com/products/flashplayer/end-of-life-alternative.html#eol-alternative-faq ; https://nvd.nist.gov/vuln/detail/CVE-2013-0643
CVE-2014-0497,Adobe,Flash Player,Adobe Flash Player Integer Underflow Vulnerablity,2024-09-17,2024-10-08,https://www.adobe.com/products/flashplayer/end-of-life-alternative.html#eol-alternative-faq ; https://nvd.nist.gov/vuln/detail/CVE-2014-0497
CVE-2024-6670,Progress,WhatsUp Gold,Progress WhatsUp Gold SQL Injection Vulnerability,2024-09-16,2024-10-07,https://community.progress.com/s/article/WhatsUp-Gold-Security-Bulletin-August-2024 ; https://nvd.nist.gov/vuln/detail/CVE-2024-6670
CVE-2024-43461,Microsoft,Windows,Microsoft Windows MSHTML Platform Spoofing Vulnerability,2024-09-16,2024-10-07,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-43461 ; https://nvd.nist.gov/vuln/detail/CVE-2024-43461
CVE-2024-8190,Ivanti,Cloud Services Appliance,Ivanti Cloud Services Appliance OS Command Injection Vulnerability,2024-09-13,2024-10-04,https://forums.ivanti.com/s/article/Security-Advisory-Ivanti-Cloud-Service-Appliance-CSA-CVE-2024-8190; https://nvd.nist.gov/vuln/detail/CVE-2024-8190
CVE-2024-38217,Microsoft,Windows,Microsoft Windows Mark of the Web (MOTW) Protection Mechanism Failure Vulnerability,2024-09-10,2024-10-01,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38217; https://nvd.nist.gov/vuln/detail/CVE-2024-38217
CVE-2024-38014,Microsoft,Windows,Microsoft Windows Installer Improper Privilege Management Vulnerability,2024-09-10,2024-10-01,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38014; https://nvd.nist.gov/vuln/detail/CVE-2024-38014
CVE-2024-38226,Microsoft,Publisher,Microsoft Publisher Protection Mechanism Failure Vulnerability,2024-09-10,2024-10-01,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38226; https://nvd.nist.gov/vuln/detail/CVE-2024-38226
CVE-2024-40766,SonicWall,SonicOS,SonicWall SonicOS Improper Access Control Vulnerability,2024-09-09,2024-09-30,https://psirt.global.sonicwall.com/vuln-detail/SNWLID-2024-0015; https://nvd.nist.gov/vuln/detail/CVE-2024-40766
CVE-2017-1000253,Linux,Kernel,Linux Kernel PIE Stack Buffer Corruption Vulnerability ,2024-09-09,2024-09-30,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=a87938b2e246b81b4fb713edb371a9fa3c5c3c86; https://nvd.nist.gov/vuln/detail/CVE-2017-1000253"
CVE-2016-3714,ImageMagick,ImageMagick,ImageMagick Improper Input Validation Vulnerability,2024-09-09,2024-09-30,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://www.imagemagick.org/discourse-server/viewtopic.php?f=4&t=29588#p132726, https://imagemagick.org/archive/releases/; https://nvd.nist.gov/vuln/detail/CVE-2016-3714"
CVE-2024-7262,Kingsoft,WPS Office,Kingsoft WPS Office Path Traversal Vulnerability,2024-09-03,2024-09-24,"While CISA cannot confirm the effectiveness of patches at this time, it is recommended that mitigations be applied per vendor instructions if available. If these instructions cannot be located or if mitigations are unavailable, discontinue the use of the product.;   https://nvd.nist.gov/vuln/detail/CVE-2024-7262"
CVE-2021-20124,DrayTek,VigorConnect,Draytek VigorConnect Path Traversal Vulnerability ,2024-09-03,2024-09-24,https://www.draytek.com/about/security-advisory/vigorconnect-software-security-vulnerability-(cve-2021-20123-cve-2021-20129); https://nvd.nist.gov/vuln/detail/CVE-2021-20124
CVE-2021-20123,DrayTek,VigorConnect,Draytek VigorConnect Path Traversal Vulnerability ,2024-09-03,2024-09-24,https://www.draytek.com/about/security-advisory/vigorconnect-software-security-vulnerability-(cve-2021-20123-cve-2021-20129); https://nvd.nist.gov/vuln/detail/CVE-2021-20123
CVE-2024-7965,Google,Chromium V8,Google Chromium V8 Inappropriate Implementation Vulnerability,2024-08-28,2024-09-18,https://chromereleases.googleblog.com/2024/08/stable-channel-update-for-desktop_21.html; https://nvd.nist.gov/vuln/detail/CVE-2024-7965
CVE-2024-38856,Apache,OFBiz,Apache OFBiz Incorrect Authorization Vulnerability,2024-08-27,2024-09-17,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/olxxjk6b13sl3wh9cmp0k2dscvp24l7w; https://nvd.nist.gov/vuln/detail/CVE-2024-38856"
CVE-2024-7971,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2024-08-26,2024-09-16,https://chromereleases.googleblog.com/2024/08/stable-channel-update-for-desktop_21.html; https://nvd.nist.gov/vuln/detail/CVE-2024-7971
CVE-2024-39717,Versa,Director,Versa Director Dangerous File Type Upload Vulnerability,2024-08-23,2024-09-13,https://versa-networks.com/blog/versa-security-bulletin-update-on-cve-2024-39717-versa-director-dangerous-file-type-upload-vulnerability/;   https://nvd.nist.gov/vuln/detail/CVE-2024-39717
CVE-2021-31196,Microsoft,Exchange Server,Microsoft Exchange Server Information Disclosure Vulnerability,2024-08-21,2024-09-11,https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2021-31196; https://nvd.nist.gov/vuln/detail/CVE-2021-31196
CVE-2022-0185,Linux,Kernel,Linux Kernel Heap-Based Buffer Overflow Vulnerability,2024-08-21,2024-09-11,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit?id=722d94847de2; https://nvd.nist.gov/vuln/detail/CVE-2022-0185"
CVE-2021-33045,Dahua,IP Camera Firmware,Dahua IP Camera Authentication Bypass Vulnerability,2024-08-21,2024-09-11,https://www.dahuasecurity.com/aboutUs/trustedCenter/details/582; https://nvd.nist.gov/vuln/detail/CVE-2021-33045
CVE-2021-33044,Dahua,IP Camera Firmware,Dahua IP Camera Authentication Bypass Vulnerability,2024-08-21,2024-09-11,https://www.dahuasecurity.com/aboutUs/trustedCenter/details/582; https://nvd.nist.gov/vuln/detail/CVE-2021-33044
CVE-2024-23897,Jenkins,Jenkins Command Line Interface (CLI),Jenkins Command Line Interface (CLI) Path Traversal Vulnerability,2024-08-19,2024-09-09,https://www.jenkins.io/security/advisory/2024-01-24/#SECURITY-3314; https://nvd.nist.gov/vuln/detail/CVE-2024-23897
CVE-2024-28986,SolarWinds,Web Help Desk,SolarWinds Web Help Desk Deserialization of Untrusted Data Vulnerability,2024-08-15,2024-09-05,https://www.solarwinds.com/trust-center/security-advisories/cve-2024-28986; https://nvd.nist.gov/vuln/detail/CVE-2024-28986
CVE-2024-38107,Microsoft,Windows,Microsoft Windows Power Dependency Coordinator Privilege Escalation Vulnerability,2024-08-13,2024-09-03,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38107; https://nvd.nist.gov/vuln/detail/CVE-2024-38107
CVE-2024-38106,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,2024-08-13,2024-09-03,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38106; https://nvd.nist.gov/vuln/detail/CVE-2024-38106
CVE-2024-38193,Microsoft,Windows,Microsoft Windows Ancillary Function Driver for WinSock Privilege Escalation Vulnerability,2024-08-13,2024-09-03,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38193; https://nvd.nist.gov/vuln/detail/CVE-2024-38193
CVE-2024-38213,Microsoft,Windows,Microsoft Windows SmartScreen Security Feature Bypass Vulnerability,2024-08-13,2024-09-03,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38213; https://nvd.nist.gov/vuln/detail/CVE-2024-38213
CVE-2024-38178,Microsoft,Windows,Microsoft Windows Scripting Engine Memory Corruption Vulnerability,2024-08-13,2024-09-03,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38178; https://nvd.nist.gov/vuln/detail/CVE-2024-38178
CVE-2024-38189,Microsoft,Project,Microsoft Project Remote Code Execution Vulnerability ,2024-08-13,2024-09-03,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38189; https://nvd.nist.gov/vuln/detail/CVE-2024-38189
CVE-2024-32113,Apache,OFBiz,Apache OFBiz Path Traversal Vulnerability,2024-08-07,2024-08-28,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/w6s60okgkxp2th1sr8vx0ndmgk68fqrd; https://nvd.nist.gov/vuln/detail/CVE-2024-32113"
CVE-2024-36971,Android,Kernel,Android Kernel Remote Code Execution Vulnerability,2024-08-07,2024-08-28,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see:   https://source.android.com/docs/security/bulletin/2024-08-01,  https://lore.kernel.org/linux-cve-announce/20240610090330.1347021-2-lee@kernel.org/T/#u ; https://nvd.nist.gov/vuln/detail/CVE-2024-36971"
CVE-2018-0824,Microsoft,Windows,Microsoft COM for Windows Deserialization of Untrusted Data Vulnerability,2024-08-05,2024-08-26,https://msrc.microsoft.com/update-guide/en-US/advisory/CVE-2018-0824; https://nvd.nist.gov/vuln/detail/CVE-2018-0824
CVE-2024-37085,VMware,ESXi,VMware ESXi Authentication Bypass Vulnerability,2024-07-30,2024-08-20,https://support.broadcom.com/web/ecx/support-content-notification/-/external/content/SecurityAdvisories/0/24505;   https://nvd.nist.gov/vuln/detail/CVE-2024-37085
CVE-2023-45249,Acronis,Cyber Infrastructure (ACI),Acronis Cyber Infrastructure (ACI) Insecure Default Password Vulnerability,2024-07-29,2024-08-19,https://security-advisory.acronis.com/advisories/SEC-6452;  https://nvd.nist.gov/vuln/detail/CVE-2023-45249
CVE-2024-5217,ServiceNow,"Utah, Vancouver, and Washington DC Now Platform",ServiceNow Incomplete List of Disallowed Inputs Vulnerability,2024-07-29,2024-08-19,https://support.servicenow.com/kb?id=kb_article_view&sysparm_article=KB1648313; https://nvd.nist.gov/vuln/detail/CVE-2024-5217
CVE-2024-4879,ServiceNow,"Utah, Vancouver, and Washington DC Now Platform",ServiceNow Improper Input Validation Vulnerability,2024-07-29,2024-08-19,https://support.servicenow.com/kb?id=kb_article_view&sysparm_article=KB1645154; https://nvd.nist.gov/vuln/detail/CVE-2024-4879
CVE-2024-39891,Twilio,Authy,Twilio Authy Information Disclosure Vulnerability,2024-07-23,2024-08-13,https://www.twilio.com/en-us/changelog/Security_Alert_Authy_App_Android_iOS; https://nvd.nist.gov/vuln/detail/CVE-2024-39891
CVE-2012-4792,Microsoft,Internet Explorer,Microsoft Internet Explorer Use-After-Free Vulnerability,2024-07-23,2024-08-13,https://learn.microsoft.com/en-us/lifecycle/products/internet-explorer-11; https://nvd.nist.gov/vuln/detail/CVE-2012-4792
CVE-2022-22948,VMware,vCenter Server,VMware vCenter Server Incorrect Default File Permissions Vulnerability ,2024-07-17,2024-08-07,https://www.vmware.com/security/advisories/VMSA-2022-0009.html;  https://nvd.nist.gov/vuln/detail/CVE-2022-22948
CVE-2024-28995,SolarWinds,Serv-U,SolarWinds Serv-U Path Traversal Vulnerability ,2024-07-17,2024-08-07,https://www.solarwinds.com/trust-center/security-advisories/cve-2024-28995; https://nvd.nist.gov/vuln/detail/CVE-2024-28995
CVE-2024-34102,Adobe,Commerce and Magento Open Source,Adobe Commerce and Magento Open Source Improper Restriction of XML External Entity Reference (XXE) Vulnerability,2024-07-17,2024-08-07,https://helpx.adobe.com/security/products/magento/apsb24-40.html;  https://nvd.nist.gov/vuln/detail/CVE-2024-34102
CVE-2024-36401,OSGeo,GeoServer,OSGeo GeoServer GeoTools Eval Injection Vulnerability,2024-07-15,2024-08-05,"This vulnerability affects an open-source component, third-party library, or a protocol used by different products. For more information, please see: https://github.com/geoserver/geoserver/security/advisories/GHSA-6jj6-gm7p-fcvv, https://github.com/geotools/geotools/pull/4797 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-36401"
CVE-2024-23692,Rejetto,HTTP File Server,Rejetto HTTP File Server Improper Neutralization of Special Elements Used in a Template Engine Vulnerability,2024-07-09,2024-07-30,"The patched Rejetto HTTP File Server (HFS) is version 3: https://github.com/rejetto/hfs?tab=readme-ov-file#installation, https://www.rejetto.com/hfs/ ;   https://nvd.nist.gov/vuln/detail/CVE-2024-23692"
CVE-2024-38080,Microsoft,Windows ,Microsoft Windows Hyper-V Privilege Escalation Vulnerability,2024-07-09,2024-07-30,https://msrc.microsoft.com/update-guide/en-US/vulnerability/CVE-2024-38080; https://nvd.nist.gov/vuln/detail/CVE-2024-38080
CVE-2024-38112,Microsoft,Windows,Microsoft Windows MSHTML Platform Spoofing Vulnerability,2024-07-09,2024-07-30,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-38112; https://nvd.nist.gov/vuln/detail/CVE-2024-38112
CVE-2024-20399,Cisco,NX-OS,Cisco NX-OS Command Injection Vulnerability,2024-07-02,2024-07-23,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-nxos-cmd-injection-xD9OhyOP;   https://nvd.nist.gov/vuln/detail/CVE-2024-20399
CVE-2020-13965,Roundcube,Webmail,Roundcube Webmail Cross-Site Scripting (XSS) Vulnerability,2024-06-26,2024-07-17,https://roundcube.net/news/2020/06/02/security-updates-1.4.5-and-1.3.12; https://nvd.nist.gov/vuln/detail/CVE-2020-13965
CVE-2022-2586,Linux,Kernel,Linux Kernel Use-After-Free Vulnerability,2024-06-26,2024-07-17,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. For more information, please see: https://seclists.org/oss-sec/2022/q3/131;  https://nvd.nist.gov/vuln/detail/CVE-2022-2586"
CVE-2022-24816,OSGeo,JAI-EXT,OSGeo GeoServer JAI-EXT Code Injection Vulnerability,2024-06-26,2024-07-17,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. The patched JAI-EXT is version 1.1.22: https://github.com/geosolutions-it/jai-ext/releases/tag/1.1.22, https://github.com/geosolutions-it/jai-ext/security/advisories/GHSA-v92f-jx6p-73rx;  https://nvd.nist.gov/vuln/detail/CVE-2022-24816"
CVE-2024-4358,Progress,Telerik Report Server,Progress Telerik Report Server Authentication Bypass by Spoofing Vulnerability,2024-06-13,2024-07-04,https://docs.telerik.com/report-server/knowledge-base/registration-auth-bypass-cve-2024-4358; https://nvd.nist.gov/vuln/detail/CVE-2024-4358
CVE-2024-26169,Microsoft,Windows,Microsoft Windows Error Reporting Service Improper Privilege Management Vulnerability,2024-06-13,2024-07-04,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-26169; https://nvd.nist.gov/vuln/detail/CVE-2024-26169
CVE-2024-32896,Android,Pixel,Android Pixel Privilege Escalation Vulnerability,2024-06-13,2024-07-04,https://source.android.com/docs/security/bulletin/pixel/2024-06-01; https://nvd.nist.gov/vuln/detail/CVE-2024-32896
CVE-2024-4577,PHP Group,PHP,PHP-CGI OS Command Injection Vulnerability,2024-06-12,2024-07-03,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see:  https://www.php.net/ChangeLog-8.php#;   https://nvd.nist.gov/vuln/detail/CVE-2024-4577"
CVE-2024-4610,Arm,Mali GPU Kernel Driver,Arm Mali GPU Kernel Driver Use-After-Free Vulnerability,2024-06-12,2024-07-03,https://developer.arm.com/Arm%20Security%20Center/Mali%20GPU%20Driver%20Vulnerabilities; https://nvd.nist.gov/vuln/detail/CVE-2024-4610
CVE-2017-3506,Oracle,WebLogic Server,Oracle WebLogic Server OS Command Injection Vulnerability,2024-06-03,2024-06-24,https://www.oracle.com/security-alerts/cpuapr2017.html; https://nvd.nist.gov/vuln/detail/CVE-2017-3506
CVE-2024-1086,Linux,Kernel,Linux Kernel Use-After-Free Vulnerability,2024-05-30,2024-06-20,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=f342de4e2f33e0e39165d8639387aa6c19dff660;   https://nvd.nist.gov/vuln/detail/CVE-2024-1086"
CVE-2024-24919,Check Point,Quantum Security Gateways,Check Point Quantum Security Gateways Information Disclosure Vulnerability,2024-05-30,2024-06-20,https://support.checkpoint.com/results/sk/sk182336 ; https://nvd.nist.gov/vuln/detail/CVE-2024-24919
CVE-2024-4978,Justice AV Solutions,Viewer ,Justice AV Solutions (JAVS) Viewer Installer Embedded Malicious Code Vulnerability,2024-05-29,2024-06-19,Please follow the vendor’s instructions as outlined in the public statements at https://www.rapid7.com/blog/post/2024/05/23/cve-2024-4978-backdoored-justice-av-solutions-viewer-software-used-in-apparent-supply-chain-attack#remediation and https://www.javs.com/downloads;  https://nvd.nist.gov/vuln/detail/CVE-2024-4978
CVE-2024-5274,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2024-05-28,2024-06-18,https://chromereleases.googleblog.com/2024/05/stable-channel-update-for-desktop_23.html?m=1; https://nvd.nist.gov/vuln/detail/CVE-2024-5274
CVE-2020-17519,Apache,Flink,Apache Flink Improper Access Control Vulnerability,2024-05-23,2024-06-13,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status. For more information, please see: https://lists.apache.org/thread/typ0h03zyfrzjqlnb7plh64df1g2383d; https://nvd.nist.gov/vuln/detail/CVE-2020-17519"
CVE-2024-4947,Google,Chromium V8,Google Chromium V8 Type Confusion Vulnerability,2024-05-20,2024-06-10,https://chromereleases.googleblog.com/2024/05/stable-channel-update-for-desktop_15.html; https://nvd.nist.gov/vuln/detail/CVE-2024-4947
CVE-2023-43208,NextGen Healthcare,Mirth Connect,NextGen Healthcare Mirth Connect Deserialization of Untrusted Data Vulnerability,2024-05-20,2024-06-10,"This vulnerability affects a common open-source component, third-party library, or a protocol used by different products. Please check with specific vendors for information on patching status.   For more information, please see: https://github.com/nextgenhealthcare/connect/wiki/4.4.1---What%27s-New ;  https://nvd.nist.gov/vuln/detail/CVE-2023-43208"
CVE-2024-4761,Google,Chromium V8,Google Chromium V8 Out-of-Bounds Memory Write Vulnerability,2024-05-16,2024-06-06,https://chromereleases.googleblog.com/2024/05/stable-channel-update-for-desktop_13.html; https://nvd.nist.gov/vuln/detail/CVE-2024-4761
CVE-2021-40655,D-Link,DIR-605 Router,D-Link DIR-605 Router Information Disclosure Vulnerability,2024-05-16,2024-06-06,https://legacy.us.dlink.com/pages/product.aspx?id=2b09e95d90ff4cb38830ecc04c89cee5; https://nvd.nist.gov/vuln/detail/CVE-2021-40655
CVE-2014-100005,D-Link,DIR-600 Router,D-Link DIR-600 Router Cross-Site Request Forgery (CSRF) Vulnerability,2024-05-16,2024-06-06,https://legacy.us.dlink.com/pages/product.aspx?id=4587b63118524aec911191cc81605283; https://nvd.nist.gov/vuln/detail/CVE-2014-100005
CVE-2024-30040,Microsoft,Windows,Microsoft Windows MSHTML Platform Security Feature Bypass Vulnerability,2024-05-14,2024-06-04,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-30040; https://nvd.nist.gov/vuln/detail/CVE-2024-30040
CVE-2024-30051,Microsoft,DWM Core Library, Microsoft DWM Core Library Privilege Escalation Vulnerability,2024-05-14,2024-06-04,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-30051; https://nvd.nist.gov/vuln/detail/CVE-2024-30051
CVE-2024-4671,Google,Chromium,Google Chromium Visuals Use-After-Free Vulnerability,2024-05-13,2024-06-03,https://chromereleases.googleblog.com/2024/05/stable-channel-update-for-desktop_9.html?m=1; https://nvd.nist.gov/vuln/detail/CVE-2024-4671
CVE-2023-7028,GitLab,GitLab CE/EE,GitLab Community and Enterprise Editions Improper Access Control Vulnerability,2024-05-01,2024-05-22,https://about.gitlab.com/releases/2024/01/11/critical-security-release-gitlab-16-7-2-released/ ;  https://nvd.nist.gov/vuln/detail/CVE-2023-7028
CVE-2024-29988,Microsoft,SmartScreen Prompt,Microsoft SmartScreen Prompt Security Feature Bypass Vulnerability,2024-04-30,2024-05-21,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-29988; https://nvd.nist.gov/vuln/detail/CVE-2024-29988
CVE-2024-4040,CrushFTP,CrushFTP,CrushFTP VFS Sandbox Escape Vulnerability,2024-04-24,2024-05-01,https://www.crushftp.com/crush11wiki/Wiki.jsp?page=Update&version=34; https://nvd.nist.gov/vuln/detail/CVE-2024-4040
CVE-2024-20359,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco ASA and FTD Privilege Escalation Vulnerability,2024-04-24,2024-05-01,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-persist-rce-FLsNXF4h;  https://nvd.nist.gov/vuln/detail/CVE-2024-20359
CVE-2024-20353,Cisco,Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),Cisco ASA and FTD Denial of Service Vulnerability,2024-04-24,2024-05-01,https://sec.cloudapps.cisco.com/security/center/content/CiscoSecurityAdvisory/cisco-sa-asaftd-websrvs-dos-X8gNucD2;   https://nvd.nist.gov/vuln/detail/CVE-2024-20353
CVE-2022-38028,Microsoft,Windows,Microsoft Windows Print Spooler Privilege Escalation Vulnerability ,2024-04-23,2024-05-14,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2022-38028;  https://nvd.nist.gov/vuln/detail/CVE-2022-38028
CVE-2024-3400,Palo Alto Networks,PAN-OS,Palo Alto Networks PAN-OS Command Injection Vulnerability,2024-04-12,2024-04-19,https://security.paloaltonetworks.com/CVE-2024-3400 ;   https://nvd.nist.gov/vuln/detail/CVE-2024-3400
CVE-2024-3273,D-Link,Multiple NAS Devices,D-Link Multiple NAS Devices Command Injection Vulnerability,2024-04-11,2024-05-02,https://supportannouncement.us.dlink.com/security/publication.aspx?name=SAP10383; https://nvd.nist.gov/vuln/detail/CVE-2024-3273
CVE-2024-3272,D-Link,Multiple NAS Devices,D-Link Multiple NAS Devices Use of Hard-Coded Credentials Vulnerability,2024-04-11,2024-05-02,https://supportannouncement.us.dlink.com/security/publication.aspx?name=SAP10383; https://nvd.nist.gov/vuln/detail/CVE-2024-3272
CVE-2024-29748,Android,Pixel,Android Pixel Privilege Escalation Vulnerability,2024-04-04,2024-04-25,https://source.android.com/docs/security/bulletin/pixel/2024-04-01; https://nvd.nist.gov/vuln/detail/CVE-2024-29748
CVE-2024-29745,Android,Pixel,Android Pixel Information Disclosure Vulnerability,2024-04-04,2024-04-25,https://source.android.com/docs/security/bulletin/pixel/2024-04-01 ; https://nvd.nist.gov/vuln/detail/CVE-2024-29745
CVE-2023-24955,Microsoft,SharePoint Server,Microsoft SharePoint Server Code Injection Vulnerability,2024-03-26,2024-04-16,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-24955;  https://nvd.nist.gov/vuln/detail/CVE-2023-24955
CVE-2019-7256,Nice,Linear eMerge E3-Series,Nice Linear eMerge E3-Series OS Command Injection Vulnerability,2024-03-25,2024-04-15,"https://linear-solutions.com/wp-content/uploads/E3-Bulletin-06-27-2023.pdf, https://www.cisa.gov/news-events/ics-advisories/icsa-24-065-01; https://nvd.nist.gov/vuln/detail/CVE-2019-7256"
CVE-2021-44529,Ivanti,Endpoint Manager Cloud Service Appliance (EPM CSA),Ivanti Endpoint Manager Cloud Service Appliance (EPM CSA) Code Injection Vulnerability ,2024-03-25,2024-04-15,https://forums.ivanti.com/s/article/SA-2021-12-02?language=en_US; https://nvd.nist.gov/vuln/detail/CVE-2021-44529
CVE-2023-48788,Fortinet,FortiClient EMS,Fortinet FortiClient EMS SQL Injection Vulnerability,2024-03-25,2024-04-15,https://www.fortiguard.com/psirt/FG-IR-24-007;  https://nvd.nist.gov/vuln/detail/CVE-2023-48788
CVE-2024-27198,JetBrains,TeamCity,JetBrains TeamCity Authentication Bypass Vulnerability,2024-03-07,2024-03-28,https://www.jetbrains.com/help/teamcity/teamcity-2023-11-4-release-notes.html; https://nvd.nist.gov/vuln/detail/CVE-2024-27198
CVE-2024-23225,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,2024-03-06,2024-03-27,"https://support.apple.com/en-us/HT214081, https://support.apple.com/en-us/HT214082, https://support.apple.com/en-us/HT214083, https://support.apple.com/en-us/HT214084, https://support.apple.com/en-us/HT214085, https://support.apple.com/en-us/HT214086, https://support.apple.com/en-us/HT214087, https://support.apple.com/en-us/HT214088 ;  https://nvd.nist.gov/vuln/detail/CVE-2024-23225"
CVE-2024-23296,Apple,Multiple Products,Apple Multiple Products Memory Corruption Vulnerability,2024-03-06,2024-03-27,"https://support.apple.com/en-us/HT214081, https://support.apple.com/en-us/HT214082, https://support.apple.com/en-us/HT214084, https://support.apple.com/en-us/HT214086, https://support.apple.com/en-us/HT214088  ;  https://nvd.nist.gov/vuln/detail/CVE-2024-23296"
CVE-2023-21237,Android,Pixel,Android Pixel Information Disclosure Vulnerability ,2024-03-05,2024-03-26,https://source.android.com/docs/security/bulletin/pixel/2023-06-01;  https://nvd.nist.gov/vuln/detail/CVE-2023-21237
CVE-2021-36380,Sunhillo,SureLine,Sunhillo SureLine OS Command Injection Vulnerablity,2024-03-05,2024-03-26,https://www.sunhillo.com/fb011/; https://nvd.nist.gov/vuln/detail/CVE-2021-36380
CVE-2024-21338,Microsoft,Windows,Microsoft Windows Kernel Exposed IOCTL with Insufficient Access Control Vulnerability,2024-03-04,2024-03-25,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2024-21338; https://nvd.nist.gov/vuln/detail/CVE-2024-21338
CVE-2023-29360,Microsoft,Streaming Service,Microsoft Streaming Service Untrusted Pointer Dereference Vulnerability,2024-02-29,2024-03-21,https://msrc.microsoft.com/update-guide/vulnerability/CVE-2023-29360 ;https://nvd.nist.gov/vuln/detail/CVE-2023-29360
CVE-2024-1709,ConnectWise,ScreenConnect,ConnectWise ScreenConnect Authentication Bypass Vulnerability,2024-02-22,2024-02-29,https://www.connectwise.com/company/trust/security-bulletins/connectwise-screenconnect-23.9.8; https://nvd.nist.gov/vuln/detail/CVE-2024-1709
